item_id,title,brand_id,shop_type,sku_id,sku_sales,sku_name,leafcat,attrs,剂型_attr,相关属性,cat1,sold,sales,price,qa
3565436233490505088,【旗舰新款】德国嘉利达万物生胶原蛋白肽透明质酸营养浓缩饮,37303164,douyin,,133875,,31277,保质期:18月||产品名称:复合胶原蛋白肽||适用性别:女||产地:中国大陆||品牌:万物生||生产企业名称:黑龙江万物生生物科技有限公司||用法:每日最大饮用量两瓶||适用人群:不限||计价单位:盒||食用提示:开盖即可饮用||产品剂型:口服液||商品条形码:6972097240116||食品生产许可证编号:SC10623118202169||规格（粒/袋/ml/g）:50ml*10支,口服液,{'产品剂型': '口服液'},,,,,1
3522239994200782914,Enervite澳乐维他天然肉桂精华铬元素硫辛酸血糖平衡片90粒/瓶,139378606,douyin,,96146.7,,31385,保质期:25-36个月||食用方法/使用方法:每日1-3粒||温馨提示:本品不可替代药品||品牌:EnerVite/澳乐维他||生产企业名称:Health Spring Australia Pty Ltd.||净含量:90粒||适用人群:通用||产品剂型:胶囊||注意事项:本品不可替代药品||原产地:澳大利亚,胶囊,{'产品剂型': '胶囊'},,,,,1
3637836226893055164,【新年礼包】白金装赛速饮首发 三重精华浓缩提升速度耐力跑步骑行,47340,douyin,,29636.88,,31315,保质期:12月||产地:中国大陆||适用性别:通用||产品名称:赛速饮||品牌:CPT/康比特||生产企业名称:固安康比特体育科技有限公司||食品生产许可证编号:SC13013102200502||规格（粒/袋/ml/g）:一盒,口服液,{},,,,,1
3716122624540147838,怡可纳酵母蛋白粉运动健身71%蛋白质粉,2391949,douyin,,695704.4,,31285,保质期:24月||产地:中国大陆||产品名称:酵母蛋白粉||品牌:怡可纳||生产企业名称:天津小薇生物科技有限公司||食品生产许可证编号:SC10612011413995||规格（粒/袋/ml/g）:908g/桶,粉剂,{},,,,,1
3703124155101741161,益生元西梅饮添加65%浓缩膳食纤维果汁果蔬夏日畅饮西梅汁送礼盒,2492175,douyin,,123917,,31268,保质期:18月||是否临期:否||产品名称:益生元西梅饮||适用性别:通用||产地:中国大陆||品牌:miuoh/喵尚||生产企业名称:橡果美健实业投资股份有限公司||用法:拆袋饮用||适用人群:成人||计价单位:盒||食用提示:饮用||产品剂型:口服液||食品生产许可证编号:SC10644129806531||规格（粒/袋/ml/g）:100mL/袋 8袋/盒,口服液,{'产品剂型': '口服液'},,,,,1
3673250026781540645,me today双专利8mg虾青素精华瓶维生素E天然雨生红球藻营养30粒,155796815,douyin,,1684940.6,,31400,套餐详情:me today虾青素5效精华瓶x1,,{},,,,,1
3572692748274377158,webber naturals天然大豆卵磷脂胶囊鱼油搭档1200mg 180粒/瓶,138391619,douyin,,7347.06,,31355,保质期:25-36个月||食用方法/使用方法:每日1-3粒||温馨提示:本品不可替代药品||品牌:WEBBER NATURALS||净含量:180粒||适用人群:成人||产品剂型:胶囊||注意事项:避免儿童接触||原产地:加拿大,胶囊,{'产品剂型': '胶囊'},,,,,1
3724627853585809889,【静宜专属】维特健灵 祛湿轻1瓶60粒?1瓶40粒?2瓶10粒【2个月的量】,41592,douyin,,8428095,,31390,保质期:37-48个月||食用方法/使用方法:口服||温馨提示:本品不可替代药品||产品名称:祛湿轻||品牌:Vita Green/维特健灵||适用人群:通用||产品剂型:胶囊||注意事项:本品不可替代药品||原产地:香港特别行政区,胶囊,{'产品剂型': '胶囊'},,,,,1
3724703672727371985,澳洲NutritionCare养胃粉经典款护胃姜黄槲皮素正品原装进口3瓶-z,137613383,douyin,,23171.28,,31352,套餐详情:NC养胃粉便携【养胃保护胃粘膜】应酬出差饮食不规律常备14袋/盒-5克*14袋x1、澳洲NC养胃粉经典款姜黄谷氨酰胺原装正品护胃150g/瓶 -150g/罐x3,粉剂,{},,,,,1
3718706281410855222,【世货专属】诺特兰德多酚可可天然可可粉4重植物成分  7条装,22044,douyin,,151973.38,,31991,保质期:24月||产地:中国大陆||产品名称:诺特兰德多酚可可||品牌:诺特兰德||生产企业名称:山东捷晶生物科技有限公司||食品生产许可证编号:SC11337012600809,粉剂,{},,,,,1
3670970749973299294,【新春钜惠】小分子肽蛋白粉Y9动植物双蛋白特殊膳食营养补品,155796037,douyin,,134213.88,,31284,保质期:24月||产地:中国大陆||产品名称:小分子肽蛋白粉||品牌:森云生||生产企业名称:安徽领克药业有限公司||食品生产许可证编号:SC10634122230677||规格（粒/袋/ml/g）:20g*20袋,粉剂,{},,,,,1
