item_id,title,brand_id,shop_type,sku_id,sku_sales,sku_name,leafcat,attrs,剂型_attr,相关属性,cat1,sold,sales,price,qa
3727040079101821343,VIEVDIED/薇第【3天辟谷大礼包】轻断食代餐 辟谷老师全程陪跑,138361613,douyin,,38042.4,,39318,品牌:VIEVDIED/薇第,,{},,,,,1
3656934548874362316,挪威Noromega天然海豹油120粒×3礼盒进口保健中老年血压血脂,13063,douyin,,440125.44,,31395,保质期:25-36个月||食用方法/使用方法:随餐服用，每日2粒||温馨提示:本品不可替代药品||品牌:NOROMEGA||适用人群:成人||产品剂型:胶囊||注意事项:海鲜过敏者请勿服用、孕妇/哺乳期/经期/备孕人群不建议服用||原产地:挪威,胶囊,{'产品剂型': '胶囊'},,,,,1
3709396776411857130,【抖量度选】洁妮贝少女宝女性盆底私密修复口服胶原蛋白粉产后保养,136515341,douyin,,101481.12,,31353,套餐详情:DermoXEN洁妮贝盆底修复宝口服胶原蛋白粉女性产后护理保养-默认x3、DermoXEN洁妮贝女性活性铁 女性补铁剂孕妇孕中晚期产后铁剂口服-默认x1,粉剂,{},,,,,1
3726499340596936951,草谷林人参玛卡牡蛎虫草片魅力聚会应酬社交约会品质运动健康男女,155814837,douyin,,46194.39,,31383,保质期:24月||是否临期:否||产地:中国大陆||产品名称:人参牡蛎黄精虫草片||净含量:8.4g||生产企业名称:河南省铭源药业有限公司||品牌:草谷林||食品生产许可证编号:sc10641177100594||产品:方糖||贮存条件:常温||商品条形码:6977666360844||生产日期:2024-08-02 2026-08-01||是否为有机食品:否||包装方式:包装,,{},,,,,0
3603872437709721704,Swisse斯维诗月见草胶囊200粒缓解调理经期不适女士经期保健品,13541118,douyin,,2809.8,,31375,保质期:25-36个月||食用方法/使用方法:每次两粒，每日3次，或遵医嘱。||温馨提示:本品不可替代药品||产品名称:Swisse斯维诗月见草胶囊200粒||品牌:SWISSE/斯维诗||适用人群:成人||产品剂型:胶囊||注意事项:请于25摄氏度以下干燥，阴凉处储保存。密封盖若破损，请勿服用。||原产地:澳大利亚,胶囊,{'产品剂型': '胶囊'},,,,,1
3721441050296975522,MCUUINA卵巢保养 40:1肌醇&辅酶Q10 调节月经内分泌悦轻巢60粒/瓶,155815767,douyin,,148131.7,,31381,保质期:25-36个月||食用方法/使用方法:每日一次每次两粒||温馨提示:本品不可替代药品||品牌:MCUUINA||适用人群:通用||产品剂型:胶囊||注意事项:无||原产地:美国,胶囊,{'产品剂型': '胶囊'},,,,,1
3709041619266306267,ImmPower充能糖电解质梯度碳水体育生马拉松篮球骑行非饮料 2kg,22044,douyin,,3714,,39108,品牌:诺特兰德,口服液,{},,,,,1
3726118746457243830,芙顺堂百合康牌亚麻籽油维生素E软胶囊李时珍集团出品正品,155701552,douyin,,12661672,,31998,保质期:24月||保健功能:辅助降血脂||是否临期:否||产品名称:百合康牌亚麻籽油维生素E软胶囊||商品名称:百合康牌亚麻籽油维生素E软胶囊||产地:中国大陆||品牌:芙顺堂||生产企业名称:威海百合生物技术股份有限公司||适用人群:成人||不适宜人群:少年儿童、孕妇、乳母||保健食品批准文号:国食健注G20140187||注意事项:保健食品不是药物，不能代替药物治疗疾病||产品剂型:胶囊||食品生产许可证编号:SC11337108200263||规格（粒/袋/ml/g）:500mg/粒,胶囊,{'产品剂型': '胶囊'},,,,,1
3729290547500810462,法国S&S全谱玻尿酸透明质酸钠水光小分子次抛口服液10ml*20支/盒,4654403,douyin,,1996775.4,,34148,保质期:36月||品牌:SUBLIME SURFACE/苏费仕||产品名称:玻尿酸透明质酸钠,口服液,{},,,,,1
3488834269168683767,【贾乃亮代言】诺特兰德维生素C+E+烟酰胺咀嚼片烟酸复合维生素VBvc,22044,douyin,,5152210,,31282,保质期:24月||是否临期:否||产品名称:烟酰胺||适用性别:通用||产地:中国大陆||品牌:诺特兰德||生产企业名称:山东捷晶生物科技有限公司||适用人群:成人||计价单位:瓶||产品剂型:片剂||食品生产许可证编号:SC11337012600809||规格（粒/袋/ml/g）:60片/瓶,片剂,{'产品剂型': '片剂'},,,,,1
3607528189099925814,诺特兰德新一代b族维生素咀嚼片复配好营养8大B族含量升级72粒/瓶,22044,douyin,,16076628,,31273,生产企业名称:山东捷晶生物科技有限公司||产地:中国大陆||品牌:诺特兰德||食品生产许可证编号:SC11337012600809||产品名称:维生素B族,咀嚼片片剂,{},,,,,1
3728137771836113197,【乐乐乐专属】白云山益生菌7000亿高活性益幽神益生元2g*10条/盒,32346,douyin,,200850.66,,31270,保质期:24月||产品名称:益生菌||适用性别:通用||产地:中国大陆||品牌:白云山||生产企业名称:锦乔生物科技有限公司||用法:含食/冲泡||适用人群:三岁以上||计价单位:盒||食用提示:婴幼儿不可食用||产品剂型:粉剂||商品条形码:6970529077590||食品生产许可证编号:SC10632087100125||规格（粒/袋/ml/g）:2g*10,粉剂,{'产品剂型': '粉剂'},,,,,1
3603868956420667841,V2X黑魔Performix进阶蓝魔双倍输出代谢提高状态唤醒缓释60粒/瓶F,21294,douyin,,16067.22,,31413,保质期:25-36个月||食用方法/使用方法:每天1-2粒，清晨空腹。 建立耐受性先从半量开始||温馨提示:本品不可替代药品||产品名称:黑魔||品牌:PERFORMIX||适用人群:成人||产品剂型:胶囊||注意事项:注意事项：禁用于孕妇，哺乳期或准备备孕者~该产品用于18岁以上的健康成人。避免那些对咖啡因或其他刺激性作用的成分敏感的人使用。不要连续使用本品超过8周，不要与酒精混合。不要超过每日推荐量。请先咨询医生或有资格认证的健康保健机构专业人士再食用，如果你是孕妇或在哺乳期或同时在服药， 但是，不局限于MAOL抑制剂，抗抑郁药物，阿司匹林，非甾体类抗炎药或产品含有苯肾上腺素，麻黄碱，伪麻黄碱或其他兴奋剂或你有一个医疗条件，但是不限于心脏，肝脏，肾脏，或甲状腺疾病，精神疾病或癫痫性障  碍，排尿困难，糖尿病，高血压，心律失常，周期性的头痛，增大的前列腺或青光眼。||原产地:美国,胶囊,{'产品剂型': '胶囊'},,,,,1
3676249960556396756,【身材肠道】国奖黑金茶-未来可7高浓缩金花黑茶提取冠突散囊菌农大,25296,douyin,,751428.5,,31296,保质期:36月||产地:中国大陆||产品名称:黑金茶||品牌:未来可7||生产企业名称:湖南省湘茶高科技有限公司||产品规格:21g||食品生产许可证编号:SC11443010200103,茶,{},,,,,1
3689901580762611859,【达人专属】薄荷生活满感饮餐前饱腹管理期控量饮料非代餐,48957280,douyin,,1342026.8,,31995,保质期:18月||是否临期:否||产品名称:薄荷健康满感饮餐前饱腹饮食糖油管理期食欲控量饮料非代餐食品||产地:中国大陆||品牌:薄荷生活||生产企业名称:南京优能健康科技有限公司||食品生产许可证编号:SC10732012400702,口服液,{},,,,,1
3727760321587314967,提升免疫力【超级盾Super Shield】GEETOP美国脾氨肽冻干粉26年11月,131097775,douyin,,512280.25,,31344,套餐详情:GEETOP【超级盾 Super Shield】升级版脾氨肽冻干粉口服免疫力-默认x2,粉剂,{},,,,,1
3686056545474446089,【2盒更划算】爱茉莉内可美绿茶片第二代升级版组合,49200658,douyin,,3860045,,31416,套餐详情:爱茉莉内可美绿茶片第二代升级版60粒-默认x1、【便携装】内可美绿茶片第二代升级版10粒-默认x1,茶,{},,,,,0
3672080464362995899,【养巢锁龄】巢舒安大豆苷元保养紧致焕活巢年轻60粒莱特维健,155703532,douyin,,2704893.2,,31381,套餐详情:【养巢锁龄】巢舒安大豆苷元60粒保养紧致焕活巢年轻莱特维健-默认x6、【养巢锁龄】巢舒安大豆苷元60粒保养紧致焕活巢年轻莱特维健-默认x1,,{},,,,,1
3698081032520728769,【Anico澳洲小金条】深海褐藻糖胶95%+通腺散结冲剂散结饮 20条/盒,136235930,douyin,,3494.55,,31402,套餐详情:褐藻糖胶小金条节节饮-默认x2,口服液颗粒/冲剂,{},,,,,1
